,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Type,quality
1006,6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,White Wine,5
5135,7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,Red Wine,5
6010,7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,Red Wine,5
609,6.2,0.26,0.29,2,0.036,16,87,0.99081,3.33,0.61,11.8,White Wine,6
2125,6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,White Wine,6
1630,8.1,0.17,0.21,1.6,0.036,24,119,0.99396,3.18,0.52,10.1,White Wine,6
6228,9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,Red Wine,5
5086,6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,White Wine,7
2715,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,Red Wine,5
1762,6,0.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,White Wine,6
1629,7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,Red Wine,6
1538,6.3,0.37,0.51,6.3,0.048,35,146,0.9943,3.1,1.01,10.5,White Wine,6
1419,6.5,0.46,0.24,11.5,0.051,56,171,0.99588,3.08,0.56,9.8,White Wine,6
1314,7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,White Wine,6
6006,6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,White Wine,6
5115,6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,White Wine,5
4417,7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,White Wine,7
3315,5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,White Wine,7
3145,6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,Red Wine,6
4182,7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,White Wine,8
407,6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,White Wine,5
323,8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,Red Wine,5
2237,11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11,Red Wine,5
1633,6.6,0.25,0.33,8.5,0.042,29,141,0.99546,3.28,0.6,10.4,White Wine,5
3928,7.5,0.24,0.49,9.4,0.048,50,149,0.9962,3.17,0.59,10.5,White Wine,7
6015,6.7,0.24,0.46,2.2,0.033,19,111,0.99045,3.1,0.62,11.9,White Wine,6
3227,6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,White Wine,6
1395,7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9,White Wine,5
2508,7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9,White Wine,5
3070,6,0.27,0.26,1.3,0.038,32,138,0.99125,3.46,0.43,11.1,White Wine,6
1127,13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,Red Wine,6
2138,6.5,0.15,0.44,12.6,0.052,65,158,0.99688,3.26,0.7,10.3,White Wine,7
1125,7,0.21,0.28,7.5,0.07,45,185,0.9966,3.34,0.55,9.4,White Wine,5
3700,5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,White Wine,7
1183,5.6,0.255,0.57,10.7,0.056,66,171,0.99464,3.25,0.61,10.4,White Wine,7
3643,6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,White Wine,5
156,5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,Red Wine,7
420,8.3,0.2,0.35,0.9,0.05,12,74,0.992,3.13,0.38,10.5,White Wine,6
5075,7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,Red Wine,6
2501,5.6,0.41,0.22,7.1,0.05,44,154,0.9931,3.3,0.4,10.5,White Wine,5
2991,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.96666667,White Wine,7
5767,7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,Red Wine,6
546,6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4,White Wine,4
4237,6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,White Wine,5
2136,7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,Red Wine,6
1717,7.8,0.21,0.49,1.2,0.036,20,99,0.99,3.05,0.28,12.1,White Wine,7
759,6.7,0.31,0.3,2.1,0.038,18,130,0.9928,3.36,0.63,10.6,White Wine,6
4463,5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4,White Wine,6
171,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,Red Wine,6
3129,6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,White Wine,5
2480,7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,White Wine,6
1112,6.8,0.28,0.36,1.6,0.04,25,87,0.9924,3.23,0.66,10.3,White Wine,6
4757,6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,White Wine,5
3953,7.1,0.26,0.49,2.2,0.032,31,113,0.9903,3.37,0.42,12.9,White Wine,9
470,6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,White Wine,5
3000,7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,Red Wine,5
4577,7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,Red Wine,4
1779,8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,White Wine,5
5159,7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,White Wine,6
5803,6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2,White Wine,7
1888,7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,White Wine,6
1148,12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,Red Wine,7
5264,7.8,0.2,0.28,10.2,0.054,78,186,0.997,3.14,0.46,10,White Wine,6
2463,7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,Red Wine,5
5140,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,Red Wine,6
283,6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,White Wine,6
6357,9,0.8,0.12,2.4,0.083,8,28,0.99836,3.33,0.65,10.4,Red Wine,6
2758,6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,White Wine,5
1815,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,White Wine,8
743,7.7,0.49,1,19.6,0.03,28,135,0.9973,3.24,0.4,12,White Wine,6
1719,7.7,0.3,0.34,1.2,0.048,4,119,0.99084,3.18,0.34,12.1,White Wine,6
3615,5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,White Wine,5
2100,6.6,0.26,0.52,8.2,0.047,52,191,0.99541,3.16,0.47,9.5,White Wine,6
1661,6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,White Wine,6
824,12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,Red Wine,7
2218,6.6,0.22,0.36,5.5,0.029,30,105,0.99206,3.2,0.47,11.8,White Wine,6
4852,7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,White Wine,7
4095,6.1,0.35,0.24,2.3,0.034,25,133,0.9906,3.34,0.59,12,White Wine,7
1755,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,White Wine,7
1763,6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,White Wine,5
5889,7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,White Wine,5
4729,6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4,White Wine,8
1318,7.2,0.5,0,0.8,0.034,46,114,0.9932,3.19,0.34,9.2,White Wine,4
3977,7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,White Wine,6
3231,8.1,0.24,0.33,10.2,0.048,46,141,0.9972,3.16,0.48,10.3,White Wine,6
3961,8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,Red Wine,5
89,5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,White Wine,5
3229,6.3,0.32,0.32,1.5,0.037,12,76,0.98993,3.3,0.46,12.3,White Wine,6
472,6,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8,White Wine,7
2549,7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,White Wine,3
5040,7.4,0.26,0.31,2.4,0.043,58,178,0.9941,3.42,0.68,10.6,White Wine,6
6110,6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,Red Wine,6
5460,7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,White Wine,6
205,7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,Red Wine,6
440,8,0.5,0.39,2.6,0.082,12,46,0.9985,3.43,0.62,10.7,Red Wine,6
2530,7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,White Wine,5
5785,5.6,0.15,0.31,5.3,0.038,8,79,0.9923,3.3,0.39,10.5,White Wine,6
2949,6.8,0.26,0.29,11.9,0.052,54,160,0.99546,3.03,0.58,10.4,White Wine,6
6231,6.2,0.15,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7,White Wine,6
1026,6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,White Wine,6
5458,6.9,0.17,0.22,4.6,0.064,55,152,0.9952,3.29,0.37,9.3,White Wine,6
5898,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,White Wine,5
4912,8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,Red Wine,7
3611,7.4,0.29,0.48,12.8,0.037,61.5,182,0.99808,3.02,0.34,8.8,White Wine,5
3100,6.5,0.23,0.45,2.1,0.027,43,104,0.99054,3.02,0.52,11.3,White Wine,6
4216,7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,White Wine,5
4566,6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,White Wine,6
3297,6.4,0.23,0.37,7.9,0.05,60,150,0.99488,2.86,0.49,9.3,White Wine,6
5751,6.9,0.28,0.3,8.3,0.026,37,113,0.99139,2.99,0.38,12.3,White Wine,8
3721,6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,White Wine,6
1812,7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,White Wine,6
5099,7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,White Wine,5
1435,6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,White Wine,7
3056,6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,White Wine,7
483,9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,Red Wine,5
5,8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,White Wine,6
4315,6.8,0.21,0.62,6.4,0.041,7,113,0.99358,2.96,0.59,10.2,White Wine,5
5558,6.6,0.285,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,White Wine,6
3786,8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,White Wine,6
4325,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,White Wine,8
1957,6.2,0.28,0.41,5,0.043,50,188,0.99318,3.23,0.64,10.8,White Wine,6
6049,9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,Red Wine,6
496,6.4,0.18,0.31,1.6,0.049,36,127,0.9934,3.6,0.67,10.4,White Wine,7
4887,8,0.3,0.28,5.7,0.044,31,124,0.9948,3.16,0.51,10.2,White Wine,6
3571,6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,White Wine,7
2097,9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,White Wine,5
2404,5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,White Wine,6
1086,7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,White Wine,6
2504,6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,White Wine,5
3445,7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,White Wine,6
6392,7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,White Wine,6
3574,7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,Red Wine,5
6477,7.6,0.2,0.39,2.6,0.044,30,180,0.9941,3.46,0.44,10.8,White Wine,7
2807,11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,Red Wine,5
3085,5.8,0.29,0.15,1.1,0.029,12,83,0.9898,3.3,0.4,11.4,White Wine,6
1774,7.6,0.28,0.17,1.6,0.046,28,117,0.99288,3.08,0.43,10,White Wine,5
4319,8.2,0.29,0.49,1,0.044,29,118,0.9928,3.24,0.36,10.9,White Wine,4
2448,6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,White Wine,6
1406,7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,White Wine,6
4931,6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,White Wine,5
1325,7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,Red Wine,5
3672,6.4,0.16,0.25,1.4,0.057,21,125,0.99091,3.23,0.44,11.1,White Wine,7
1515,3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,White Wine,6
2341,7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,White Wine,5
2678,7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,White Wine,8
2389,7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,White Wine,5
3797,6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,White Wine,5
1803,6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,White Wine,7
2300,8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,White Wine,5
2863,6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,White Wine,7
3760,8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,White Wine,7
1037,8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,Red Wine,6
1184,6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,Red Wine,6
4807,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,White Wine,6
3275,8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,White Wine,6
3303,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,Red Wine,6
4968,7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,White Wine,6
1986,6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,White Wine,6
1710,6.2,0.47,0.21,1,0.044,13,98,0.99345,3.14,0.46,9.2,White Wine,5
74,8,0.22,0.28,14,0.053,83,197,0.9981,3.14,0.45,9.8,White Wine,6
6065,7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,Red Wine,5
5719,6.6,0.33,0.4,2.65,0.041,35,86,0.98916,3.11,0.39,13.3,White Wine,7
6495,7.6,0.27,0.34,5,0.04,18,56,0.99084,3.06,0.48,12.4,White Wine,6
672,10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,Red Wine,6
3119,10.1,0.38,0.5,2.4,0.104,6,13,0.99643,3.22,0.65,11.6,Red Wine,7
2496,6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,White Wine,7
4917,10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,Red Wine,7
3788,7.1,0.21,0.3,1.4,0.037,45,143,0.9932,3.13,0.33,9.9,White Wine,6
2965,10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,Red Wine,6
3723,6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,Red Wine,5
2332,8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,White Wine,5
3402,9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,Red Wine,5
3351,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,Red Wine,5
6157,6.7,0.2,0.3,1.4,0.025,17,76,0.99104,3.11,0.44,11,White Wine,6
3328,6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,White Wine,7
525,6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,White Wine,6
1680,7.2,0.27,0.42,1.6,0.05,35,135,0.992,2.94,0.46,11,White Wine,6
2581,6.4,0.21,0.21,5.1,0.097,21,105,0.9939,3.07,0.46,9.6,White Wine,5
421,7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,White Wine,6
6225,6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,White Wine,5
6373,6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,White Wine,4
5422,8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,Red Wine,6
4805,7.1,0.17,0.31,1.6,0.037,15,103,0.991,3.14,0.5,12,White Wine,6
73,7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,White Wine,6
4564,8.2,0.2,0.38,3.5,0.053,41,174,0.99306,3.22,0.41,11.6,White Wine,5
4443,7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,White Wine,6
5213,7.2,0.24,0.4,17.85,0.049,50,185,1,3.34,0.42,9.6,White Wine,5
599,7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,Red Wine,7
4508,13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,Red Wine,6
4093,5.9,0.12,0.27,4.8,0.03,40,110,0.99226,3.55,0.68,12.1,White Wine,6
5410,9.2,0.32,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6,White Wine,5
2048,6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,White Wine,7
4883,7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,Red Wine,6
1576,7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,Red Wine,6
5019,7,0.24,0.32,1.3,0.037,39,123,0.992,3.17,0.42,11.2,White Wine,8
5675,7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,Red Wine,6
4962,7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,Red Wine,6
6061,6,0.17,0.21,6,0.05,26,134,0.9939,3.08,0.54,9.8,White Wine,6
6350,6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,White Wine,6
5786,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,White Wine,7
1936,6.2,0.35,0.31,2.6,0.036,37,92,0.98938,3.27,0.53,12.8,White Wine,7
1562,7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,White Wine,5
4739,5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,White Wine,6
544,5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,White Wine,6
1223,7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,White Wine,5
1571,8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5,Red Wine,7
2743,6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,Red Wine,5
5345,8.1,0.26,0.3,7.8,0.049,39,152,0.9954,2.99,0.58,10,White Wine,6
629,7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,White Wine,5
5493,7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,White Wine,6
688,7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,Red Wine,5
3171,6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,White Wine,5
5824,6.5,0.26,0.39,1.4,0.02,12,66,0.99089,3.25,0.75,11.3,White Wine,7
433,6.6,0.32,0.27,10.9,0.041,37,146,0.9963,3.24,0.47,10,White Wine,5
3112,5.9,0.14,0.25,4.5,0.027,34,140,0.9934,3.49,0.51,10.8,White Wine,6
4807,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,White Wine,6
652,7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,White Wine,7
1030,6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,White Wine,5
1249,8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,Red Wine,5
648,7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,White Wine,6
3108,7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,White Wine,6
4613,7.6,0.27,0.33,2,0.059,19,175,0.9944,3.22,0.56,9.9,White Wine,5
4059,5.7,0.12,0.26,5.5,0.034,21,99,0.99324,3.09,0.57,9.9,White Wine,6
5400,5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,White Wine,8
1362,6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,Red Wine,5
4383,10.2,0.34,0.48,2.1,0.052,5,9,0.99458,3.2,0.69,12.1,Red Wine,7
97,7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,Red Wine,5
1715,6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,White Wine,5
2785,5.1,0.33,0.27,6.7,0.022,44,129,0.99221,3.36,0.39,11,White Wine,7
666,11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,Red Wine,7
3423,7.5,0.26,0.25,1.7,0.038,29,129,0.99312,3.45,0.56,10.4,White Wine,6
3086,6.8,0.2,0.28,12.6,0.048,54,136,0.99556,3.19,0.37,10.7,White Wine,6
4108,6.1,0.16,0.37,1.1,0.031,37,97,0.9922,3.4,0.58,10.5,White Wine,6
1406,7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,White Wine,6
803,8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,Red Wine,4
2840,7.5,0.2,0.49,1.3,0.031,8,97,0.9918,3.06,0.62,11.1,White Wine,5
3191,6.7,0.5,0.36,11.5,0.096,18,92,0.99642,3.11,0.49,9.6,White Wine,5
5300,7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,White Wine,7
1355,6.8,0.29,0.34,3.5,0.054,26,189,0.99489,3.42,0.58,10.4,White Wine,5
913,6.9,0.24,0.33,4.8,0.04,16,131,0.9936,3.26,0.64,10.7,White Wine,6
5987,6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,White Wine,6
864,5.6,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,White Wine,7
896,9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,Red Wine,5
2798,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,Red Wine,5
1291,6.9,0.32,0.3,1.8,0.036,28,117,0.99269,3.24,0.48,11,White Wine,6
1723,5.9,0.65,0.23,5,0.035,20,128,0.99016,3.46,0.48,12.8,White Wine,6
1931,5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,White Wine,6
766,8.9,0.27,0.28,0.8,0.024,29,128,0.98984,3.01,0.35,12.4,White Wine,6
1907,10,0.2,0.39,1.4,0.05,19,152,0.994,3,0.42,10.4,White Wine,6
860,6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,White Wine,6
4945,6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,White Wine,6
2692,6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,Red Wine,4
697,7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,Red Wine,5
6326,6.7,0.3,0.44,18.5,0.057,65,224,0.99956,3.11,0.53,9.1,White Wine,5
5121,6.5,0.32,0.23,1.2,0.054,39,208,0.99272,3.18,0.46,9.9,White Wine,6
2797,8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,Red Wine,7
4225,7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4,White Wine,5
4232,9.3,0.34,0.49,7.3,0.052,30,146,0.998,3.17,0.61,10.2,White Wine,5
5399,6.9,0.24,0.37,6.1,0.027,38,112,0.99086,3.19,0.34,12.4,White Wine,6
2927,6.8,0.24,0.38,8.3,0.045,50,185,0.99578,3.15,0.5,9.5,White Wine,6
3920,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,Red Wine,7
4043,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,White Wine,5
4332,6.7,0.15,0.32,7.9,0.034,17,81,0.99512,3.29,0.31,10,White Wine,6
1116,7,0.26,0.46,15.55,0.037,61,171,0.9986,2.94,0.35,8.8,White Wine,6
1955,8,0.14,0.49,1.5,0.035,42,120,0.9928,3.26,0.4,10.6,White Wine,7
2508,7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9,White Wine,5
6467,6.7,0.24,0.29,6.8,0.038,54,127,0.9932,3.33,0.46,11.6,White Wine,7
3532,5.9,0.12,0.28,1.4,0.037,36,83,0.99074,3.33,0.42,10.9,White Wine,7
3000,7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,Red Wine,5
2306,6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,White Wine,5
2059,6.4,0.3,0.36,2,0.052,18,141,0.99273,3.38,0.53,10.5,White Wine,6
1224,6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,White Wine,7
3708,7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,Red Wine,5
4033,7.8,0.24,0.18,6.7,0.046,33,160,0.9963,3.2,0.56,9.8,White Wine,6
2195,6.1,0.31,0.37,8.4,0.031,70,170,0.9934,3.42,0.4,11.7,White Wine,8
3044,8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,Red Wine,7
5022,7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,White Wine,6
