Date,Price,Open,High,Low,Vol.,Change %
04-09-2021,"32,448.05","32,636.90","32,972.15","32,329.95",398.60M,-1.02%
04-08-2021,"32,782.85","33,154.20","33,306.80","32,704.75",279.33M,-0.63%
04-07-2021,"32,991.20","32,529.70","33,191.70","32,141.55",341.13M,1.51%
04-06-2021,"32,501.35","32,915.65","33,007.65","32,338.40",300.87M,-0.54%
04-05-2021,"32,678.85","33,649.15","33,697.75","32,330.15",342.86M,-3.48%
04-01-2021,"33,858.00","33,588.00","33,949.15","33,208.75",312.72M,1.66%
03/31/2021,"33,303.90","33,764.80","33,773.10","33,151.80",370.02M,-1.69%
03/30/2021,"33,875.10","33,615.90","33,990.80","33,564.55",374.23M,1.67%
03/26/2021,"33,318.20","33,605.05","33,610.65","33,166.10",291.66M,0.94%
03/25/2021,"33,006.45","33,420.75","33,550.15","32,415.25",486.19M,-0.86%
03/24/2021,"33,293.25","33,894.70","33,970.65","33,203.40",345.48M,-2.61%
03/23/2021,"34,184.40","33,747.95","34,360.05","33,622.00",365.20M,1.73%
03/22/2021,"33,603.45","34,088.40","34,148.90","33,389.15",298.86M,-1.63%
03/19/2021,"34,161.60","33,590.40","34,355.40","33,361.00",457.21M,0.90%
03/18/2021,"33,856.80","34,577.50","34,759.85","33,597.55",365.80M,-1.09%
03/17/2021,"34,229.25","34,905.05","35,100.50","34,126.85",294.34M,-1.65%
03/16/2021,"34,804.60","35,352.00","35,405.05","34,744.60",311.78M,-1.07%
03/15/2021,"35,182.55","35,544.25","35,544.25","34,430.65",353.01M,-0.88%
03-12-2021,"35,496.65","36,497.35","36,497.35","35,188.05",273.64M,-1.23%
03-10-2021,"35,938.30","36,112.25","36,176.90","35,764.35",210.56M,0.20%
03-09-2021,"35,865.65","35,705.90","36,077.80","35,544.95",276.56M,1.67%
03-08-2021,"35,275.75","35,462.45","35,827.30","35,090.75",300.22M,0.14%
03-05-2021,"35,228.15","35,458.50","35,616.05","34,893.25",479.02M,-1.60%
03-04-2021,"35,802.50","35,575.65","36,316.40","35,519.25",518.58M,-1.56%
03-03-2021,"36,368.05","35,754.45","36,455.15","35,570.55",526.96M,2.68%
03-02-2021,"35,419.70","35,458.15","35,747.05","35,002.45",313.57M,0.35%
03-01-2021,"35,296.00","35,374.25","35,581.10","34,983.75",321.45M,1.41%
02/26/2021,"34,803.60","35,806.65","35,902.90","34,658.70",583.01M,-4.78%
02/25/2021,"36,549.00","36,763.15","37,232.20","36,494.00",455.94M,0.27%
02/24/2021,"36,452.30","35,205.40","36,567.65","35,060.65",272.88M,3.80%
02/23/2021,"35,116.95","35,540.55","35,680.85","34,976.00",495.06M,-0.40%
02/22/2021,"35,257.20","35,874.30","36,128.90","35,097.55",558.74M,-1.63%
02/19/2021,"35,841.60","36,371.55","36,656.20","35,584.60",1.06B,-2.04%
02/18/2021,"36,587.00","37,088.75","37,108.75","36,367.45",860.33M,-0.88%
02/17/2021,"36,910.95","37,041.95","37,331.45","36,764.25",850.49M,-0.51%
02/16/2021,"37,098.40","37,492.60","37,708.75","36,762.75",498.42M,-0.56%
02/15/2021,"37,306.25","36,501.40","37,449.90","36,405.10",395.96M,3.32%
02-12-2021,"36,108.90","35,736.60","36,322.80","35,700.25",400.61M,1.00%
02-11-2021,"35,752.10","35,687.25","36,009.45","35,573.30",397.93M,-0.09%
02-10-2021,"35,783.10","36,042.35","36,227.20","35,428.15",454.61M,-0.76%
02-09-2021,"36,056.50","36,058.80","36,477.15","35,636.85",692.48M,0.20%
02-08-2021,"35,983.65","36,073.85","36,466.45","35,872.25",448.65M,0.92%
02-05-2021,"35,654.50","35,634.95","36,615.20","35,545.00",929.58M,0.88%
02-04-2021,"35,344.80","34,548.90","35,413.15","34,238.90",829.67M,1.69%
02-03-2021,"34,758.45","34,555.60","34,908.05","34,011.90",605.20M,1.43%
02-02-2021,"34,267.90","33,589.05","34,652.50","33,583.15",672.20M,3.56%
02-01-2021,"33,089.05","30,976.35","33,305.30","30,906.45",724.60M,8.26%
01/29/2021,"30,565.50","30,700.65","31,111.95","30,254.55",491.24M,0.68%
01/28/2021,"30,358.30","29,812.30","30,464.40","29,687.70",616.60M,0.24%
01/27/2021,"30,284.55","31,236.25","31,287.05","30,165.65",374.96M,-2.93%
01/25/2021,"31,198.40","31,507.15","31,697.55","31,013.65",354.69M,0.10%
01/22/2021,"31,167.25","32,088.00","32,131.40","31,119.90",447.19M,-3.17%
01/21/2021,"32,186.90","32,732.80","32,842.30","31,985.55",429.69M,-1.10%
01/20/2021,"32,543.70","32,388.95","32,607.45","32,322.90",463.37M,0.37%
01/19/2021,"32,424.85","32,082.90","32,464.95","31,863.95",354.80M,1.93%
01/18/2021,"31,811.75","32,275.15","32,441.50","31,650.90",396.84M,-1.35%
01/15/2021,"32,246.80","32,508.90","32,544.80","32,044.35",441.55M,-0.84%
01/14/2021,"32,519.75","32,526.70","32,718.95","32,442.35",418.77M,-0.17%
01/13/2021,"32,574.65","32,546.60","32,683.50","32,148.25",631.81M,0.73%
01-12-2021,"32,339.00","31,835.05","32,397.95","31,725.85",518.13M,1.06%
01-11-2021,"31,998.90","32,280.30","32,288.45","31,836.95",262.15M,-0.27%
01-08-2021,"32,084.20","32,298.05","32,298.05","32,002.95",320.08M,0.40%
01-07-2021,"31,956.00","32,129.80","32,177.40","31,911.50",503.48M,0.50%
01-06-2021,"31,797.90","31,839.95","31,982.30","31,548.15",546.15M,0.24%
01-05-2021,"31,722.25","31,041.10","31,767.65","30,935.55",427.04M,1.63%
01-04-2021,"31,212.45","31,485.15","31,489.60","30,893.65",455.78M,-0.04%
01-01-2021,"31,225.85","31,297.30","31,384.35","31,188.25",362.82M,-0.12%
12/31/2020,"31,264.05","31,295.90","31,409.50","31,088.10",364.12M,-0.12%
12/30/2020,"31,303.05","31,479.80","31,510.25","31,007.15",267.80M,-0.06%
12/29/2020,"31,322.50","31,006.90","31,359.35","31,002.60",389.22M,1.43%
12/28/2020,"30,880.95","30,558.85","30,929.05","30,538.15",317.21M,1.57%
12/24/2020,"30,402.20","30,071.65","30,545.85","30,007.80",300.01M,1.74%
12/23/2020,"29,883.30","29,560.75","29,941.40","29,446.00",379.38M,0.87%
12/22/2020,"29,625.95","29,607.50","29,711.15","28,976.75",464.42M,0.58%
12/21/2020,"29,456.45","30,595.80","30,607.50","29,201.20",390.94M,-4.10%
12/18/2020,"30,714.65","30,841.85","30,854.05","30,374.50",278.14M,-0.43%
12/17/2020,"30,847.05","30,791.20","30,945.20","30,643.90",260.66M,0.48%
12/16/2020,"30,698.40","30,920.35","30,932.25","30,587.10",380.59M,0.02%
12/15/2020,"30,691.05","30,805.40","30,805.85","30,345.75",279.37M,-0.18%
12/14/2020,"30,745.90","30,735.15","30,845.80","30,624.25",269.04M,0.46%
12-11-2020,"30,604.85","30,555.30","30,811.80","30,328.45",409.94M,0.31%
12-10-2020,"30,510.35","30,545.35","30,610.00","30,202.10",335.77M,-0.65%
12-09-2020,"30,709.40","30,335.05","30,807.25","30,326.70",542.52M,1.48%
12-08-2020,"30,261.90","30,300.30","30,363.80","30,025.20",586.85M,0.17%
12-07-2020,"30,211.55","30,062.60","30,354.20","29,950.60",431.76M,0.53%
12-04-2020,"30,052.40","29,573.40","30,162.30","29,473.50",466.91M,2.05%
12-03-2020,"29,448.75","29,728.90","29,813.00","29,379.40",419.24M,-0.05%
12-02-2020,"29,463.15","29,876.70","29,886.25","29,149.90",374.28M,-1.19%
12-01-2020,"29,817.85","29,844.80","29,919.75","29,511.00",325.61M,0.71%
11/27/2020,"29,609.05","29,622.00","29,716.85","29,368.70",494.40M,0.20%
11/26/2020,"29,549.75","29,370.40","29,623.00","28,923.10",369.37M,1.21%
11/25/2020,"29,196.40","30,021.90","30,197.85","29,132.30",546.08M,-1.82%
11/24/2020,"29,737.25","29,265.60","29,827.80","29,206.75",348.06M,2.46%
11/23/2020,"29,024.20","29,432.80","29,492.30","28,852.90",395.63M,-0.72%
11/20/2020,"29,236.00","28,935.75","29,406.70","28,580.90",320.01M,1.15%
11/19/2020,"28,903.05","29,302.60","29,627.20","28,819.55",358.60M,-2.85%
11/18/2020,"29,749.85","29,107.90","29,784.75","29,056.75",487.62M,1.95%
11/17/2020,"29,181.30","28,792.25","29,239.25","28,722.90",317.31M,2.05%
11/14/2020,"28,594.30","28,685.70","28,752.45","28,431.85",43.67M,0.45%
11/13/2020,"28,465.70","28,108.70","28,520.55","27,703.30",330.89M,0.66%
11-12-2020,"28,278.80","28,633.75","28,672.90","28,066.05",308.96M,-1.96%
11-11-2020,"28,845.00","28,713.15","29,030.90","28,211.10",497.51M,0.84%
11-10-2020,"28,606.00","28,039.45","28,802.50","27,916.90",595.80M,3.89%
11-09-2020,"27,534.10","27,088.95","27,595.00","27,068.95",365.12M,2.74%
11-06-2020,"26,798.95","26,274.10","26,853.45","26,135.30",357.69M,1.85%
11-05-2020,"26,313.10","26,174.80","26,375.20","26,000.05",385.31M,2.10%
11-04-2020,"25,771.60","25,539.55","25,891.00","25,142.00",409.25M,0.35%
11-03-2020,"25,682.80","25,108.00","25,760.70","25,085.70",407.59M,3.17%
11-02-2020,"24,892.50","24,367.60","25,139.00","24,120.60",437.22M,4.15%
10/30/2020,"23,900.90","24,090.15","24,277.35","23,612.70",271.82M,-0.79%
10/29/2020,"24,092.00","24,063.50","24,339.10","23,822.05",340.55M,-0.58%
10/28/2020,"24,232.50","24,737.85","24,780.70","24,057.95",272.72M,-2.17%
10/27/2020,"24,769.50","24,288.05","24,809.65","23,924.20",299.01M,2.88%
10/26/2020,"24,075.45","24,525.80","24,577.30","23,867.75",260.45M,-1.65%
10/23/2020,"24,478.30","24,669.20","24,764.15","24,360.85",196.85M,-0.02%
10/22/2020,"24,484.15","24,447.35","24,691.15","24,250.20",241.41M,-0.61%
10/21/2020,"24,635.05","24,444.20","24,823.60","24,099.85",335.66M,1.33%
10/20/2020,"24,311.80","24,117.35","24,410.90","24,039.85",254.15M,0.19%
10/19/2020,"24,266.75","23,902.90","24,320.95","23,754.85",388.15M,3.12%
10/16/2020,"23,533.25","23,219.85","23,646.20","23,148.95",229.44M,2.00%
10/15/2020,"23,072.40","23,920.35","24,087.85","22,970.95",270.33M,-3.36%
10/14/2020,"23,874.65","23,353.15","23,962.70","23,149.45",225.36M,1.63%
10/13/2020,"23,492.20","23,663.05","23,775.15","23,431.50",190.83M,-0.93%
10-12-2020,"23,712.80","23,955.60","24,190.35","23,552.60",280.70M,-0.56%
10-09-2020,"23,846.80","23,312.60","23,904.10","23,132.45",350.98M,2.83%
10-08-2020,"23,191.35","23,150.25","23,450.90","23,063.60",280.14M,0.99%
10-07-2020,"22,964.80","22,836.95","23,036.20","22,607.80",236.10M,0.49%
10-06-2020,"22,853.70","22,673.05","22,893.50","22,521.05",247.98M,2.16%
10-05-2020,"22,370.95","22,352.10","22,768.55","22,247.25",325.42M,0.56%
10-01-2020,"22,246.00","21,685.25","22,293.75","21,664.15",348.73M,3.70%
09/30/2020,"21,451.80","21,405.25","21,549.35","21,128.50",240.05M,0.19%
09/29/2020,"21,411.30","21,770.90","21,811.50","21,280.60",242.99M,-1.17%
09/28/2020,"21,665.50","21,152.05","21,708.85","21,055.10",240.22M,3.26%
09/25/2020,"20,982.35","20,740.80","21,064.30","20,430.70",280.65M,2.57%
09/24/2020,"20,456.85","20,898.80","20,955.60","20,404.90",276.42M,-3.41%
09/23/2020,"21,178.50","21,350.80","21,365.05","20,821.00",299.20M,0.19%
09/22/2020,"21,139.10","21,445.25","21,473.35","20,958.45",325.40M,-1.07%
09/21/2020,"21,366.80","21,983.40","22,098.85","21,274.30",283.52M,-3.02%
09/18/2020,"22,031.05","22,439.35","22,469.40","21,784.90",320.59M,-1.30%
09/17/2020,"22,320.35","22,352.00","22,504.45","22,267.05",216.41M,-1.12%
09/16/2020,"22,573.55","22,476.30","22,659.40","22,216.50",245.86M,0.48%
09/15/2020,"22,465.65","22,202.80","22,514.15","22,062.35",248.83M,1.65%
09/14/2020,"22,101.25","22,683.35","22,757.30","22,028.15",265.40M,-1.68%
09-11-2020,"22,479.95","22,509.95","22,668.75","22,205.95",214.79M,0.06%
09-10-2020,"22,466.20","22,466.55","22,678.65","22,225.25",278.55M,0.89%
09-09-2020,"22,267.00","22,486.70","22,554.60","22,080.40",305.09M,-2.10%
09-08-2020,"22,744.40","22,971.20","23,064.15","22,641.40",231.45M,-0.87%
09-07-2020,"22,945.05","23,036.25","23,109.10","22,716.25",245.26M,-0.29%
09-04-2020,"23,011.50","23,119.15","23,394.80","22,876.90",341.04M,-2.21%
09-03-2020,"23,530.85","23,986.15","24,051.60","23,451.65",214.82M,-1.44%
09-02-2020,"23,874.55","23,769.00","23,926.15","23,482.55",293.51M,0.26%
09-01-2020,"23,812.00","23,893.80","24,199.65","23,473.15",484.33M,0.24%
08/31/2020,"23,754.35","25,038.80","25,232.60","23,385.30",712.98M,-3.14%
08/28/2020,"24,523.80","23,635.30","24,611.80","23,599.20",812.65M,3.91%
08/27/2020,"23,600.35","23,511.45","23,704.05","23,464.15",430.93M,0.80%
08/26/2020,"23,414.20","23,175.55","23,453.40","23,093.15",337.92M,1.39%
08/25/2020,"23,092.15","22,973.40","23,180.30","22,857.90",422.19M,1.13%
08/24/2020,"22,833.00","22,436.85","22,897.50","22,410.05",346.27M,2.39%
08/21/2020,"22,299.60","22,190.70","22,344.05","22,165.05",347.08M,1.36%
08/20/2020,"21,999.45","21,989.90","22,079.90","21,886.70",314.84M,-1.29%
08/19/2020,"22,285.90","22,315.40","22,419.35","22,234.25",348.01M,0.52%
08/18/2020,"22,170.60","21,702.00","22,227.75","21,629.40",311.81M,2.16%
08/17/2020,"21,700.85","21,906.95","21,909.40","21,403.15",263.36M,0.10%
08/14/2020,"21,679.40","22,334.95","22,334.95","21,459.10",318.84M,-2.33%
08/13/2020,"22,196.35","22,395.20","22,439.95","22,139.60",289.10M,-0.30%
08-12-2020,"22,264.00","22,135.95","22,326.55","21,990.20",507.47M,0.17%
08-11-2020,"22,227.20","22,050.20","22,277.60","22,039.85",377.91M,1.49%
08-10-2020,"21,900.25","21,824.90","22,071.95","21,795.10",261.80M,0.67%
08-07-2020,"21,754.00","21,620.25","21,787.25","21,451.30",378.62M,0.51%
08-06-2020,"21,642.60","21,644.25","21,926.55","21,370.30",386.60M,0.62%
08-05-2020,"21,509.95","21,686.85","21,936.50","21,448.40",338.83M,0.09%
08-04-2020,"21,490.50","21,248.25","21,576.35","21,057.75",297.02M,1.99%
08-03-2020,"21,072.10","21,543.80","21,543.80","21,031.45",431.03M,-2.62%
07/31/2020,"21,640.05","21,730.55","21,806.95","21,375.00",397.34M,-0.03%
07/30/2020,"21,646.85","22,195.05","22,252.60","21,580.15",299.57M,-1.95%
07/29/2020,"22,076.60","22,075.00","22,346.40","21,906.35",400.36M,-0.13%
07/28/2020,"22,105.20","21,940.15","22,233.00","21,611.40",379.78M,1.17%
07/27/2020,"21,848.75","22,664.60","22,668.05","21,801.35",340.89M,-3.59%
07/24/2020,"22,662.05","22,853.20","22,854.05","22,417.20",436.26M,-1.83%
07/23/2020,"23,083.90","22,854.85","23,122.35","22,734.90",307.58M,0.88%
07/22/2020,"22,882.60","23,159.00","23,211.35","22,658.20",412.72M,0.44%
07/21/2020,"22,782.00","22,639.85","22,861.90","22,597.95",316.65M,2.06%
07/20/2020,"22,321.85","22,307.30","22,520.45","22,187.80",349.65M,1.62%
07/17/2020,"21,966.80","21,608.05","22,065.00","21,550.80",294.92M,1.71%
07/16/2020,"21,597.15","21,453.25","21,671.25","21,027.85",348.56M,1.20%
07/15/2020,"21,340.75","21,634.25","21,935.50","21,230.55",359.14M,-0.24%
07/14/2020,"21,392.20","21,877.60","21,909.70","21,222.45",338.50M,-3.16%
07/13/2020,"22,089.25","22,613.25","22,657.40","21,981.65",293.70M,-1.38%
07-10-2020,"22,398.45","22,720.95","22,835.20","22,320.05",457.10M,-2.22%
07-09-2020,"22,907.20","22,753.15","22,998.30","22,673.40",355.98M,1.43%
07-08-2020,"22,584.65","22,700.90","23,080.60","22,499.50",673.13M,-0.19%
07-07-2020,"22,628.00","22,254.30","22,674.50","22,040.35",455.77M,1.93%
07-06-2020,"22,198.95","22,270.95","22,399.25","22,171.05",290.92M,1.59%
07-03-2020,"21,852.40","22,101.75","22,130.30","21,768.00",256.18M,-0.46%
07-02-2020,"21,953.20","22,133.80","22,344.85","21,890.50",398.99M,-0.11%
07-01-2020,"21,977.60","21,354.10","22,061.60","21,281.85",385.96M,2.84%
06/30/2020,"21,370.15","21,524.30","21,650.50","21,212.00",292.66M,0.05%
06/29/2020,"21,359.00","21,291.55","21,440.05","21,026.45",328.00M,-1.08%
06/26/2020,"21,592.05","21,735.05","21,784.65","21,320.10",375.59M,0.40%
06/25/2020,"21,506.15","21,218.05","21,703.50","20,926.45",586.18M,0.37%
06/24/2020,"21,426.80","22,479.35","22,479.55","21,336.35",684.57M,-3.76%
06/23/2020,"22,264.90","21,859.25","22,322.30","21,647.80",527.94M,2.56%
06/22/2020,"21,708.35","21,491.55","22,078.25","21,425.55",664.61M,1.74%
06/19/2020,"21,338.10","20,970.10","21,467.65","20,878.25",523.37M,1.82%
06/18/2020,"20,956.30","20,137.60","21,028.35","20,030.35",362.84M,3.74%
06/17/2020,"20,201.75","20,137.45","20,627.90","19,978.15",453.53M,-0.47%
06/16/2020,"20,296.70","20,500.65","20,638.85","19,507.05",552.45M,1.93%
06/15/2020,"19,912.90","20,457.15","20,470.85","19,740.20",465.01M,-3.59%
06-12-2020,"20,654.55","19,529.30","20,747.70","19,526.10",599.19M,0.63%
06-11-2020,"20,525.15","21,084.70","21,244.45","20,458.30",747.07M,-2.72%
06-10-2020,"21,100.10","20,760.95","21,251.45","20,671.55",582.99M,1.81%
06-09-2020,"20,724.90","21,295.50","21,568.85","20,629.70",641.25M,-2.18%
06-08-2020,"21,187.35","21,636.10","21,807.40","20,911.25",748.11M,0.73%
06-05-2020,"21,034.50","20,516.40","21,198.70","20,425.05",637.45M,3.16%
06-04-2020,"20,390.45","20,932.35","21,141.80","20,316.20",587.86M,-2.63%
06-03-2020,"20,940.70","20,966.60","21,619.55","20,822.00",616.87M,2.00%
06-02-2020,"20,530.20","20,120.60","20,615.75","19,852.55",448.32M,2.86%
06-01-2020,"19,959.90","19,728.90","20,225.35","19,632.90",558.07M,3.43%
05/29/2020,"19,297.25","18,962.00","19,358.05","18,729.90",581.73M,0.66%
05/28/2020,"19,169.80","18,924.45","19,455.55","18,818.95",561.12M,2.45%
05/27/2020,"18,710.55","17,603.40","18,874.25","17,560.35",538.00M,7.28%
05/26/2020,"17,440.35","17,537.65","17,681.70","17,311.25",336.76M,0.93%
05/22/2020,"17,278.90","17,554.25","17,952.25","17,105.00",484.79M,-2.57%
05/21/2020,"17,735.10","17,901.95","18,200.70","17,658.55",347.58M,-0.59%
05/20/2020,"17,840.20","17,486.50","18,002.65","17,407.70",326.23M,2.02%
05/19/2020,"17,486.25","18,037.15","18,175.30","17,390.65",415.47M,-0.49%
05/18/2020,"17,573.20","18,795.10","18,795.10","17,514.20",434.76M,-6.69%
05/15/2020,"18,833.95","19,098.80","19,119.10","18,683.65",240.59M,-1.23%
05/14/2020,"19,068.50","19,197.70","19,380.10","19,024.75",333.04M,-2.88%
05/13/2020,"19,634.95","20,017.75","20,122.25","19,429.90",520.83M,4.09%
05-12-2020,"18,862.85","18,751.40","18,993.40","18,287.00",395.41M,-0.46%
05-11-2020,"18,950.50","19,610.45","19,733.40","18,900.90",342.56M,-2.08%
05-08-2020,"19,352.90","19,844.00","19,969.60","19,285.05",330.61M,-0.71%
05-07-2020,"19,491.80","19,536.05","19,757.25","19,332.15",300.14M,-1.03%
05-06-2020,"19,694.55","19,302.45","19,806.60","18,941.00",395.56M,2.19%
05-05-2020,"19,271.75","20,147.30","20,223.15","19,212.35",381.27M,-2.39%
05-04-2020,"19,743.75","20,514.75","20,530.45","19,643.60",328.80M,-8.32%
04/30/2020,"21,534.50","21,589.20","21,967.00","21,353.65",471.51M,2.11%
04/29/2020,"21,090.20","20,440.40","21,348.15","20,393.65",400.63M,2.03%
04/28/2020,"20,671.10","20,436.60","20,751.30","20,260.80",367.77M,2.94%
04/27/2020,"20,081.15","19,870.80","20,224.75","19,847.65",299.86M,2.52%
04/24/2020,"19,586.65","19,697.65","19,950.15","19,515.40",305.74M,-3.36%
04/23/2020,"20,267.95","19,871.35","20,356.50","19,584.40",325.38M,2.87%
04/22/2020,"19,701.85","19,306.95","19,806.35","19,051.95",349.36M,1.51%
04/21/2020,"19,409.35","19,812.05","19,891.45","19,247.95",311.92M,-5.42%
04/20/2020,"20,522.65","21,104.70","21,122.10","20,444.25",438.64M,-0.77%
04/17/2020,"20,681.45","20,394.75","20,866.55","19,729.30",475.04M,6.61%
04/16/2020,"19,400.00","18,957.15","19,520.30","18,703.45",350.28M,1.80%
04/15/2020,"19,057.05","20,096.35","20,184.10","18,776.75",389.86M,-2.21%
04/13/2020,"19,488.00","19,854.90","19,887.05","19,294.00",288.21M,-2.14%
04-09-2020,"19,913.60","19,553.15","19,988.30","19,166.90",389.99M,5.10%
04-08-2020,"18,946.45","18,799.40","20,324.10","18,482.90",508.44M,-0.61%
04-07-2020,"19,062.50","18,454.55","19,190.55","17,953.75",435.42M,10.51%
04-03-2020,"17,249.30","18,325.05","18,326.10","17,143.20",342.53M,-5.27%
04-01-2020,"18,208.35","19,122.40","19,154.75","18,042.25",274.86M,-4.89%
03/31/2020,"19,144.00","19,307.65","19,466.30","18,792.40",309.81M,1.93%
03/30/2020,"18,782.40","19,254.45","19,716.25","18,668.70",326.99M,-5.94%
03/27/2020,"19,969.00","20,801.60","21,462.40","19,580.10",539.42M,1.81%
03/26/2020,"19,613.90","18,781.85","20,409.35","18,364.50",482.88M,6.13%
03/25/2020,"18,481.05","16,759.95","18,740.20","16,635.50",394.56M,8.03%
03/24/2020,"17,107.30","17,705.85","17,841.40","16,116.25",391.70M,1.12%
03/23/2020,"16,917.65","18,311.30","18,895.65","16,791.05",307.64M,-16.73%
03/20/2020,"20,317.60","19,898.30","20,924.55","19,265.00",501.77M,1.17%
03/19/2020,"20,083.50","19,428.95","21,035.05","18,675.65",476.62M,-2.41%
03/18/2020,"20,580.20","22,411.85","22,544.05","20,267.95",875.29M,-7.11%
03/17/2020,"22,155.15","23,348.05","23,449.50","22,002.00",537.69M,-4.10%
03/16/2020,"23,101.15","24,061.60","24,074.15","23,008.25",481.91M,-8.21%
03/13/2020,"25,166.45","22,720.75","25,670.75","21,351.70",783.39M,4.99%
03-12-2020,"23,971.15","25,175.90","25,223.10","23,536.35",760.58M,-9.50%
03-11-2020,"26,487.80","26,272.75","26,791.45","26,234.10",723.29M,0.10%
03-09-2020,"26,462.60","27,031.45","27,091.60","25,923.40",1.06B,-4.82%
03-06-2020,"27,801.45","27,649.95","28,047.20","27,162.30",1.57B,-3.52%
03-05-2020,"28,815.35","28,830.30","29,134.30","28,535.60",1.08B,0.56%
03-04-2020,"28,653.70","29,252.95","29,273.65","28,125.15",425.84M,-1.79%
03-03-2020,"29,177.05","29,012.55","29,285.35","28,749.55",367.32M,1.07%
03-02-2020,"28,868.40","29,701.00","29,791.15","28,571.70",368.26M,-0.96%
02/28/2020,"29,147.15","29,501.55","29,564.10","29,051.50",386.88M,-3.44%
02/27/2020,"30,187.00","30,270.00","30,271.95","29,914.15",358.02M,-0.40%
02/26/2020,"30,306.85","30,279.95","30,515.35","30,131.75",290.96M,-0.41%
02/25/2020,"30,432.70","30,517.00","30,610.70","30,329.95",215.91M,-0.07%
02/24/2020,"30,455.10","30,666.35","30,702.15","30,428.00",254.24M,-1.58%
02/20/2020,"30,942.85","30,862.30","31,085.30","30,702.45",273.06M,0.34%
02/19/2020,"30,838.20","30,905.00","30,947.15","30,606.15",268.82M,0.90%
02/18/2020,"30,562.50","30,661.50","30,692.75","30,252.45",398.87M,-0.39%
02/17/2020,"30,680.70","30,873.85","30,998.15","30,630.50",251.93M,-0.50%
02/14/2020,"30,834.80","31,281.85","31,436.65","30,776.10",341.37M,-1.27%
02/13/2020,"31,230.25","31,586.55","31,649.45","31,180.60",303.03M,-0.83%
02-12-2020,"31,492.90","31,441.15","31,588.60","31,398.15",225.96M,0.61%
02-11-2020,"31,300.60","31,230.20","31,505.95","31,225.90",198.89M,0.78%
02-10-2020,"31,058.15","31,248.65","31,248.80","30,957.20",239.70M,-0.46%
02-07-2020,"31,201.95","31,367.05","31,368.20","31,111.05",254.38M,-0.33%
02-06-2020,"31,304.05","31,070.75","31,470.65","30,917.25",334.00M,0.97%
02-05-2020,"31,001.95","30,761.95","31,065.85","30,630.85",427.60M,1.03%
02-04-2020,"30,686.70","30,235.30","30,776.95","30,182.45",336.61M,2.21%
02-03-2020,"30,023.25","29,811.75","30,105.80","29,612.55",337.11M,0.68%
02-01-2020,"29,820.90","30,726.20","30,918.60","29,753.00",255.30M,-3.28%
01/31/2020,"30,833.60","30,950.50","31,033.45","30,691.80",333.44M,0.61%
01/30/2020,"30,647.40","30,889.25","30,909.50","30,521.30",328.86M,-0.74%
01/29/2020,"30,877.00","30,915.10","31,082.85","30,835.80",268.79M,0.38%
01/28/2020,"30,761.40","30,922.00","31,048.45","30,656.35",239.60M,-0.25%
01/27/2020,"30,837.40","31,110.55","31,227.05","30,808.55",309.94M,-1.29%
01/24/2020,"31,241.75","31,040.10","31,375.45","30,879.05",424.62M,0.77%
01/23/2020,"31,004.05","30,742.20","31,087.25","30,621.35",343.82M,0.99%
01/22/2020,"30,701.45","31,061.60","31,149.05","30,614.00",200.58M,-0.80%
01/21/2020,"30,947.55","30,978.85","31,171.25","30,858.60",227.48M,-0.43%
01/20/2020,"31,080.65","31,923.95","31,923.95","31,050.95",282.23M,-1.61%
01/17/2020,"31,590.65","31,571.65","31,773.55","31,445.50",308.14M,-0.83%
01/16/2020,"31,853.90","31,810.55","31,988.90","31,692.40",253.72M,0.09%
01/15/2020,"31,824.90","31,994.75","32,000.90","31,670.35",545.71M,-0.77%
01/14/2020,"32,071.65","32,196.45","32,196.45","31,989.20",438.91M,-0.33%
01/13/2020,"32,177.65","32,139.10","32,322.65","32,074.05",291.44M,0.25%
01-10-2020,"32,097.40","32,215.70","32,347.20","31,953.40",444.71M,0.02%
01-09-2020,"32,092.40","31,748.25","32,172.70","31,667.15",307.98M,2.29%
01-08-2020,"31,373.65","30,995.50","31,451.85","30,899.55",304.48M,-0.08%
01-07-2020,"31,399.40","31,598.05","31,851.45","31,200.90",294.37M,0.52%
01-06-2020,"31,237.15","31,910.45","31,914.45","31,170.55",256.24M,-2.59%
01-03-2020,"32,069.25","32,326.95","32,329.80","31,960.40",217.58M,-1.15%
01-02-2020,"32,443.85","32,133.15","32,465.45","32,121.40",253.56M,1.06%
01-01-2020,"32,102.90","32,237.90","32,348.00","32,057.20",184.67M,-0.18%
12/31/2019,"32,161.65","32,345.95","32,345.95","32,108.75",251.41M,-0.60%
12/30/2019,"32,354.90","32,486.60","32,613.10","32,248.50",274.05M,-0.18%
12/27/2019,"32,412.35","32,142.50","32,444.85","32,056.25",332.43M,1.30%
12/26/2019,"31,997.70","32,276.15","32,314.60","31,963.25",339.79M,-0.88%
12/24/2019,"32,280.75","32,337.80","32,390.35","32,246.05",330.83M,-0.18%
12/23/2019,"32,339.45","32,381.00","32,502.80","32,196.85",391.46M,-0.14%
12/20/2019,"32,384.95","32,266.85","32,443.35","32,199.45",535.24M,0.45%
12/19/2019,"32,241.45","32,281.65","32,328.35","32,085.05",436.93M,-0.01%
12/18/2019,"32,244.25","32,292.25","32,293.65","32,017.30",258.84M,0.32%
12/17/2019,"32,140.25","32,082.40","32,213.35","31,987.35",259.93M,0.52%
